Title,Category,InvestType,NilaiBisnis,JumlahInvestor,DanaTerkumpul,Hari,SahamTersedia
Super Suki Shabu Shabu dan Grill 4 Cabang,F&B,Saham,"Rp 816.000.000,00",48 orang,11%,43 Hari,14269 Lembar Saham
Zenbu Pondok Indah Mall,F&B,Saham,"Rp 2.492.000.000,00",49 orang,8%,43 Hari,45385 Lembar Saham
Hejo Eatery Plant Based Food 5 Cabang Jakarta Bandung,F&B,Saham,"Rp 1.340.000.000,00",68 orang,18%,36 Hari,21752 Lembar Saham
KFC Boyolali Jawa Tengah,F&B,Saham,"Rp 3.557.500.000,00",367 orang,43%,36 Hari,40455 Lembar Saham
Sukuk Mudharabah Pengadaan Boneless Dada Ayam,Agrikultur,Sukuk,"Rp 3.318.000.000,00",302 orang,53%,31 Hari,30744 Unit
Bam Cargo 3 Cabang Surabaya Pontianak Makassar,Jasa,Saham,"Rp 2.955.300.000,00",162 orang,21%,30 Hari,45160 Lembar Saham
Bakso Rusuk Sunangiri Pandu Raya Bogor,F&B,Saham,"Rp 1.895.700.000,00",361 orang,36%,6 Hari,23962 Lembar Saham
Zenbu Trans Studio Mall Cibubur,F&B,Saham,"Rp 2.028.000.000,00",783 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Proyek Distribusi Abon Sushi Tei,F&B,Sukuk,"Rp 554.150.000,00",44 orang,100%,Selesai,Unit Terpenuhi
Sour Sally Botani Square Mall Bogor,F&B,Saham,"Rp 1.610.000.000,00",529 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Proyek Budidaya Ikan Nila Desa Pancawangi,Agrikultur,Sukuk,"Rp 1.171.800.000,00",195 orang,100%,Selesai,Unit Terpenuhi
Sour Sally PIK Avenue Jakarta Utara,F&B,Saham,"Rp 1.645.000.000,00",195 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Proyek Supply Alat Inspeksi Unilever,Mekanik & Jasa,Sukuk,"Rp 1.021.000.000,00",78 orang,100%,Selesai,Unit Terpenuhi
Sour Sally AEON Mall Tanjung Barat,F&B,Saham,"Rp 1.805.000.000,00",340 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Proyek Jasa Penambangan Batubara Kalimantan Selatan,Jasa,Sukuk,"Rp 9.021.000.000,00",627 orang,100%,Selesai,Unit Terpenuhi
SPBU Pertamina Sidangoli Maluku Utara,Ritel,Saham,"Rp 6.355.000.000,00",1337 orang,100%,Selesai,Saham Terpenuhi
Balaraja Distributor Bahan Bangunan Baja Ringan Depo Surabaya,Ritel,Saham,"Rp 1.833.950.000,00",548 orang,100%,Selesai,Saham Terpenuhi
GOX The First Indonesia Gaming Livestreaming Platform,Teknologi,Startup,"Rp 825.000.000,00",3 orang,100%,Selesai,Saham Terpenuhi
Sour Sally Central Park Jakarta,F&B,Saham,"Rp 660.000.000,00",133 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Proyek Pemasangan Fiber Optik Anak Usaha Solusi Sinergi Digital Tbk,Teknologi,Sukuk,"Rp 371.000.000,00",41 orang,100%,Selesai,Unit Terpenuhi
Sukuk Mudharabah Project Komoditas Sumur Resapan Pemda DKI Jakarta,Jasa,Sukuk,"Rp 1.984.600.000,00",174 orang,100%,Selesai,Unit Terpenuhi
Alfamart Kadaka Bogor,Ritel,Saham,"Rp 2.555.000.000,00",524 orang,100%,Selesai,Saham Terpenuhi
Sukuk Mudharabah Project Instalasi Mesin Indofood Group,Jasa,Sukuk,"Rp 1.109.700.000,00",190 orang,100%,Selesai,Unit Terpenuhi
